Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,7224.000000,7224.000000,7224.000000,7233.000000,7233.000000,558
2019-04-17,7295.000000,7295.000000,7295.000000,7295.000000,7295.000000,0
2019-04-18,7259.000000,7259.000000,7259.000000,7275.000000,7275.000000,288
2019-04-23,7218.500000,7218.500000,7218.500000,7218.500000,7218.500000,0
2019-04-24,7190.149902,7190.149902,7190.149902,7109.500000,7109.500000,21
2019-04-25,7047.000000,7047.000000,7047.000000,7051.000000,7051.000000,179
2019-04-26,7101.000000,7101.000000,7101.000000,7092.000000,7092.000000,600
2019-04-29,7167.500000,7167.500000,7167.500000,7167.500000,7167.500000,0
2019-04-30,7138.000000,7138.000000,7138.000000,7103.000000,7103.000000,3
2019-05-01,7106.000000,7106.000000,7106.000000,7106.000000,7106.000000,0
2019-05-02,7086.000000,7086.000000,7086.000000,7086.000000,7086.000000,0
2019-05-03,7072.000000,7072.000000,7072.000000,7072.000000,7072.000000,0
2019-05-07,6904.000000,6904.000000,6869.000000,6869.500000,6869.500000,1454
2019-05-08,6839.149902,6839.149902,6839.149902,6893.000000,6893.000000,25
2019-05-09,6766.000000,6766.000000,6766.000000,6744.000000,6744.000000,1144
2019-05-10,6846.850098,6846.850098,6807.120117,6781.000000,6781.000000,221
2019-05-13,6669.000000,6713.000000,6669.000000,6700.000000,6700.000000,882
2019-05-14,6764.000000,6764.000000,6764.000000,6764.000000,6764.000000,0
2019-05-15,6746.200195,6746.200195,6746.200195,6784.000000,6784.000000,148
2019-05-16,6895.000000,6895.000000,6895.000000,6895.000000,6895.000000,0
2019-05-17,6835.500000,6835.500000,6835.500000,6835.500000,6835.500000,0
2019-05-20,6751.000000,6751.000000,6751.000000,6751.000000,6751.000000,0
2019-05-21,6790.500000,6790.500000,6790.500000,6790.500000,6790.500000,0
2019-05-22,6764.000000,6764.000000,6764.000000,6764.000000,6764.000000,0
2019-05-23,6707.283203,6707.283203,6667.648926,6677.500000,6677.500000,223
2019-05-24,6736.000000,6736.000000,6736.000000,6731.000000,6731.000000,148
2019-05-28,6692.500000,6692.500000,6692.500000,6692.500000,6692.500000,0
2019-05-29,6641.000000,6641.000000,6641.000000,6641.000000,6641.000000,0
2019-05-30,6687.500000,6687.500000,6687.500000,6687.500000,6687.500000,0
2019-05-31,6593.000000,6606.000000,6593.000000,6590.500000,6590.500000,162
2019-06-03,6592.500000,6592.500000,6592.500000,6592.500000,6592.500000,0
2019-06-04,6717.000000,6717.000000,6717.000000,6717.000000,6717.000000,0
2019-06-05,6669.000000,6669.000000,6669.000000,6666.500000,6666.500000,46
2019-06-06,6614.000000,6614.000000,6614.000000,6614.000000,6614.000000,0
2019-06-07,6651.000000,6651.000000,6651.000000,6634.500000,6634.500000,200
2019-06-10,6710.000000,6710.000000,6699.000000,6748.000000,6748.000000,107
2019-06-11,6734.000000,6734.000000,6734.000000,6734.000000,6734.000000,0
2019-06-12,6652.500000,6652.500000,6652.500000,6652.500000,6652.500000,0
2019-06-13,6640.500000,6640.500000,6640.500000,6640.500000,6640.500000,0
2019-06-14,6604.500000,6604.500000,6604.500000,6604.500000,6604.500000,0
2019-06-17,6652.500000,6652.500000,6652.500000,6652.500000,6652.500000,0
2019-06-18,6724.500000,6724.500000,6724.500000,6724.500000,6724.500000,0
2019-06-19,6759.000000,6759.000000,6759.000000,6762.500000,6762.500000,190178
2019-06-20,6689.500000,6689.500000,6689.500000,6689.500000,6689.500000,0
2019-06-21,6644.500000,6644.500000,6644.500000,6644.500000,6644.500000,0
2019-06-24,6638.000000,6638.000000,6638.000000,6638.000000,6638.000000,0
2019-06-25,6618.500000,6618.500000,6618.500000,6618.500000,6618.500000,0
2019-06-26,6689.000000,6689.000000,6689.000000,6689.000000,6689.000000,0
2019-06-27,6755.990234,6755.990234,6755.990234,6737.000000,6737.000000,295
2019-06-28,6763.500000,6763.500000,6763.500000,6763.500000,6763.500000,0
2019-07-01,6872.000000,6872.000000,6872.000000,6797.000000,6797.000000,52
2019-07-02,6827.500000,6827.500000,6827.500000,6827.500000,6827.500000,0
2019-07-03,6924.500000,6924.500000,6924.500000,6924.500000,6924.500000,0
2019-07-04,6966.889160,6967.788086,6958.889160,6989.500000,6989.500000,2990
2019-07-05,7000.000000,7000.000000,7000.000000,7009.000000,7009.000000,559
2019-07-08,6981.359863,6981.359863,6944.319824,6949.500000,6949.500000,648
2019-07-09,6937.500000,6937.500000,6937.500000,6937.500000,6937.500000,0
2019-07-10,6991.000000,6991.000000,6991.000000,6946.500000,6946.500000,273
2019-07-11,6956.500000,6956.500000,6956.500000,6956.500000,6956.500000,0
2019-07-12,6945.000000,6945.000000,6945.000000,6945.000000,6945.000000,0
2019-07-15,6973.000000,6973.000000,6973.000000,6973.000000,6973.000000,0
2019-07-16,7043.000000,7043.000000,7043.000000,7035.500000,7035.500000,400
2019-07-17,6923.500000,6923.500000,6923.500000,6923.500000,6923.500000,0
2019-07-18,6824.000000,6824.000000,6824.000000,6863.500000,6863.500000,470
2019-07-19,6781.500000,6781.500000,6781.500000,6781.500000,6781.500000,0
2019-07-22,6788.000000,6788.000000,6777.000000,6762.500000,6762.500000,1880
2019-07-23,6893.000000,6893.000000,6893.000000,6893.000000,6893.000000,0
2019-07-24,6828.000000,6828.000000,6828.000000,6828.000000,6828.000000,0
2019-07-25,6842.727051,6842.727051,6842.727051,6835.500000,6835.500000,2000
2019-07-26,6828.000000,6828.000000,6828.000000,6828.000000,6828.000000,0
2019-07-29,6806.000000,6831.109863,6806.000000,6871.000000,6871.000000,4506
2019-07-30,6749.500000,6749.500000,6749.500000,6749.500000,6749.500000,0
2019-07-31,6673.000000,6673.000000,6673.000000,6673.000000,6673.000000,0
